BusNum,BusNum:1,LineCircuit,LineXFType,XFAuto,XFRegMin,XFRegMax,XFRegTargetType,XFTapMin,XFTapMax,XFStep,XFTableNum,XFRegBus,OPFAreaXFPS,LineXfmr,TimeDomainSelectedXF,XFOPFRegEnforceLimits,XFConfiguration,XFFixedTap,XFFixedTap:1,XFNominalKV,XFNominalKV:1,LineTap,XFMVABase,FileType,FileType:1,FileType:2,UseDelay,UseSecRegRange,MoveDelay,MoveDelay:1,MoveDelay:2,MoveDelay:3,MoveDelay:4,MoveDelay:5,MoveDelay:6,MoveDelay:7,StepsToMove,StepsToMove:1,XFRegMin:1,XFRegMax:1,CustomFloat
110023,110024,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110024,NO ,YES,NO ,NO ,Delta - Gwye,1,1,22,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110025,110028,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110028,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-1.258638
110026,110028,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110028,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110027,110028,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110028,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110029,110032,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110032,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-17.04278
110030,110032,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110032,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110031,110032,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110032,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110033,110036,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110036,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,2.652678
110034,110036,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110036,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110035,110036,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110036,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110037,110040,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110040,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,25.055901
110038,110040,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110040,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110039,110040,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110040,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110041,110044,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110044,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,7.553339
110042,110044,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110044,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110043,110044,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110044,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110045,110048,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110048,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-9.692477
110046,110048,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110048,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110047,110048,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110048,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110049,110052,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110052,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-2.966905
110050,110052,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110052,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110051,110052,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110052,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110053,110056,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110056,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-24.462559
110054,110056,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110056,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110055,110056,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110056,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110057,110060,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110060,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0.366377
110058,110060,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110060,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110059,110060,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110060,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110061,110064,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110064,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,1.326777
110062,110064,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110064,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110063,110064,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110064,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110065,110068,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110068,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-10.339569
110066,110068,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110068,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110067,110068,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110068,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110069,110072,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110072,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,6.972616
110070,110072,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110072,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110071,110072,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110072,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110073,110076,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110076,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-60.575706
110074,110076,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110076,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110075,110076,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110076,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110077,110080,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110080,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-12.361549
110078,110080,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110080,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110079,110080,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110080,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110081,110084,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110084,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0.394911
110082,110084,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110084,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110083,110084,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110084,NO ,YES,NO ,NO ,Delta - Gwye,1,1,24,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110085,110088,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110088,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,8.707567
110086,110088,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110088,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110087,110088,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110088,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110089,110092,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110092,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-16.440725
110090,110092,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110092,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110091,110092,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110092,NO ,YES,NO ,NO ,Delta - Gwye,1,1,18,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110093,110096,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110096,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-6.118464
110094,110096,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110096,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110095,110096,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110096,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110097,110100,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110100,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-0.470193
110098,110100,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110100,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110099,110100,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110100,NO ,YES,NO ,NO ,Delta - Gwye,1,1,13.8,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,0
110101,110104,1,Fixed,NO,0.99,1.01,Middle,0.9,1.1,0.00625,0,110104,NO ,YES,NO ,NO ,Gwye - Gwye,1,1,138,1,1,100,1 : Ratio in pu of Trans Voltage,"1 : System MVA, Winding Voltage","1 : System MVA, System Voltage 1",NO ,NO ,30,30,15,15,15,15,10,10,1,1,0.51,1.5,-3.622352
